Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
GORONTALO,BOALEMO,BOTUMOITO,RUMBIA,TPS 5,51,177,51,177,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,TAPADAA,TPS 4,99,96,99,96,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,HUTAMONU,TPS 2,96,134,96,134,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOTUMOITO,TPS 2,110,102,110,102,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,PATOAMEME,TPS 1,144,93,144,93,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOTUMOITO,TPS 5,163,90,163,90,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,DULANGEYA,TPS 2,155,32,155,32,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,HUTAMONU,TPS 3,129,117,129,117,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOTUMOITO,TPS 7,108,106,108,106,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,TUTULO,TPS 4,112,145,112,145,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,HUTAMONU,TPS 4,100,115,100,115,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,PATOAMEME,TPS 5,74,140,74,140,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,TUTULO,TPS 3,107,118,107,118,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOLIHUTUO,TPS 3,137,114,137,114,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,RUMBIA,TPS 4,66,180,66,180,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,POTANGA,TPS 4,66,134,66,134,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,POTANGA,TPS 5,144,86,144,86,144,86,0,0
GORONTALO,BOALEMO,BOTUMOITO,TUTULO,TPS 2,113,144,113,144,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,TAPADAA,TPS 1,167,79,167,79,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,PATOAMEME,TPS 4,92,152,92,152,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,POTANGA,TPS 2,122,79,122,79,122,79,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOTUMOITO,TPS 3,131,97,131,97,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,RUMBIA,TPS 1,131,108,131,108,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOTUMOITO,TPS 4,106,109,106,109,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,POTANGA,TPS 1,152,61,152,61,152,61,0,0
GORONTALO,BOALEMO,BOTUMOITO,PATOAMEME,TPS 6,109,128,109,128,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOTUMOITO,TPS 6,106,100,106,100,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,HUTAMONU,TPS 1,124,96,124,96,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOLIHUTUO,TPS 1,122,115,122,115,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,TAPADAA,TPS 3,144,71,144,71,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOLIHUTUO,TPS 2,162,69,162,69,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,RUMBIA,TPS 2,122,109,122,109,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,DULANGEYA,TPS 1,181,51,181,51,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,TAPADAA,TPS 2,169,85,169,85,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOLIHUTUO,TPS 4,106,119,106,119,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,PATOAMEME,TPS 3,81,161,81,161,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,BOTUMOITO,TPS 1,81,150,81,150,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,TUTULO,TPS 1,117,115,117,115,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,POTANGA,TPS 3,90,106,90,106,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,RUMBIA,TPS 3,74,181,74,181,0,0,0,0
GORONTALO,BOALEMO,BOTUMOITO,PATOAMEME,TPS 2,113,100,113,100,0,0,0,0
GORONTALO,BOALEMO,DULUPI,KOTARAJA,TPS 1,212,40,212,40,0,0,0,0
GORONTALO,BOALEMO,DULUPI,POLOHUNGO,TPS 4,185,48,185,48,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA BARITO,TPS 7,166,31,166,31,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA BARITO,TPS 6,108,62,108,62,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANAH PUTIH,TPS 4,198,35,198,35,0,0,0,0
GORONTALO,BOALEMO,DULUPI,PANGI,TPS 3,151,60,151,60,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA JAYA,TPS 4,146,53,146,53,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 02,156,79,156,79,0,0,0,0
GORONTALO,BOALEMO,DULUPI,KOTARAJA,TPS 2,229,28,229,28,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA JAYA,TPS 1,207,62,207,62,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TABONGO,TPS 5,188,53,188,53,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 01,129,109,129,109,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TABONGO,TPS 4,144,111,144,111,0,0,0,0
GORONTALO,BOALEMO,DULUPI,POLOHUNGO,TPS 3,198,72,198,72,0,0,0,0
GORONTALO,BOALEMO,DULUPI,KOTARAJA,TPS 6,178,44,178,44,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANAH PUTIH,TPS 2,149,76,149,76,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 04,102,89,102,89,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 08,187,80,187,80,0,0,0,0
GORONTALO,BOALEMO,DULUPI,PANGI,TPS 1,182,43,182,43,0,0,0,0
GORONTALO,BOALEMO,DULUPI,PANGI,TPS 4,151,76,151,76,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 07,152,96,152,96,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TABONGO,TPS 2,123,106,123,106,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 05,86,155,86,155,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA BARITO,TPS 3,119,81,119,81,0,0,0,0
GORONTALO,BOALEMO,DULUPI,POLOHUNGO,TPS 2,175,78,175,78,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANAH PUTIH,TPS 3,116,65,116,65,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 09,137,27,137,27,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA BARITO,TPS 1,131,77,131,77,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA BARITO,TPS 4,185,72,185,72,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 03,114,105,114,105,0,0,0,0
GORONTALO,BOALEMO,DULUPI,KOTARAJA,TPS 4,137,61,137,61,0,0,0,0
GORONTALO,BOALEMO,DULUPI,POLOHUNGO,TPS 1,192,53,192,53,0,0,0,0
GORONTALO,BOALEMO,DULUPI,PANGI,TPS 2,114,94,114,94,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TABONGO,TPS 6,52,29,52,29,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA BARITO,TPS 2,145,88,145,88,0,0,0,0
GORONTALO,BOALEMO,DULUPI,KOTARAJA,TPS 5,142,105,142,105,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA JAYA,TPS 3,147,45,147,45,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 10,127,31,127,31,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TABONGO,TPS 1,147,103,147,103,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANAH PUTIH,TPS 1,164,34,164,34,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 06,128,92,128,92,0,0,0,0
GORONTALO,BOALEMO,DULUPI,KOTARAJA,TPS 3,158,58,158,58,0,0,0,0
GORONTALO,BOALEMO,DULUPI,POLOHUNGO,TPS 5,179,28,179,28,0,0,0,0
GORONTALO,BOALEMO,DULUPI,DULUPI,TPS 11,133,112,133,112,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TABONGO,TPS 3,154,69,154,69,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA JAYA,TPS 2,198,51,198,51,0,0,0,0
GORONTALO,BOALEMO,DULUPI,TANGGA BARITO,TPS 5,88,53,88,53,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,SALILAMA,TPS 3,142,57,142,57,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BUTI,TPS 1,180,53,180,53,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BUTI,TPS 2,150,94,150,94,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,PONTOLO,TPS 3,132,31,0,0,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BENDUNGAN,TPS 5,120,34,120,34,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,TABULO SELATAN,TPS 2,147,84,0,0,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BENDUNGAN,TPS 2,149,99,149,99,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,TABULO SELATAN,TPS 1,114,101,0,0,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,SALILAMA,TPS 2,140,71,140,71,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,KAARUYAN,TPS 1,196,24,196,24,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,MANANGGU,TPS 3,128,70,128,70,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,TABULO,TPS 4,124,76,124,76,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,PONTOLO,TPS 2,162,79,0,0,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,KAARUYAN,TPS 2,191,13,191,13,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BUTI,TPS 4,120,103,120,103,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,PONTOLO,TPS 1,160,88,0,0,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,TABULO,TPS 2,121,71,121,71,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,MANANGGU,TPS 5,191,46,191,46,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,SALILAMA,TPS 1,104,103,104,103,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,KRAMAT,TPS 4,180,35,180,35,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BENDUNGAN,TPS 3,157,71,157,71,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BENDUNGAN,TPS 1,147,106,147,106,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,MANANGGU,TPS 2,179,54,179,54,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,KRAMAT,TPS 1,141,66,141,66,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,TABULO,TPS 5,124,46,124,46,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,SALILAMA,TPS 4,112,47,112,47,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,MANANGGU,TPS 4,123,44,123,44,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BENDUNGAN,TPS 6,101,52,101,52,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BUTI,TPS 3,168,61,168,61,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,BUTI,TPS 5,127,106,127,106,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,TABULO,TPS 1,119,66,119,66,0,0,0,0
GORONTALO,BOALEMO,MANANGGU,TABULO SELATAN,TPS 3,208,35,0,0,0,0,0,0
