Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
JAMBI,BATANGHARI,BAJUBANG,BATIN,TPS 1,86,173,86,173,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,PENEROKAN,TPS 09,123,56,123,56,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,PENEROKAN,TPS 05,111,75,111,75,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BUNGKU,TPS 04,89,41,89,41,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,LADANG PERIS,TPS 05,137,95,137,95,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BAJUBANG,TPS 10,63,103,63,103,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,PENEROKAN,TPS 01,164,62,164,62,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,POMPA AIR,TPS 1,76,48,76,48,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,PENEROKAN,TPS 02,147,71,147,71,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BUNGKU,TPS 24,68,18,68,18,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,POMPA AIR,TPS 7,64,24,64,24,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,LADANG PERIS,TPS 06,0,0,0,0,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BATIN,TPS 8,56,161,56,161,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,MEKAR JAYA,TPS 2,114,92,114,92,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,POMPA AIR,TPS 2,86,69,86,69,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BAJUBANG,TPS 04,142,115,142,115,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BAJUBANG,TPS 06,0,0,0,0,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BUNGKU,TPS 08,196,19,196,19,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,SUNGKAI,TPS 2,74,69,74,69,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BUNGKU,TPS 29,96,44,96,44,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BAJUBANG,TPS 09,51,141,51,141,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,SUNGKAI,TPS 1,99,106,99,106,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BUNGKU,TPS 02,87,72,87,72,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BATIN,TPS 6,28,122,28,122,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BAJUBANG,TPS 12,101,79,101,79,0,0,0,0
JAMBI,BATANGHARI,BAJUBANG,BATIN,TPS 2,47,123,47,123,0,0,0,0
