Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,KELONG,TPS 8,122,15,122,15,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,AIR GELUBI,TPS 3,148,54,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,KELONG,TPS 1,161,30,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,KELONG,TPS 6,104,25,104,25,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 09,69,51,69,51,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 10,76,22,76,22,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 05,174,30,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 03,96,115,96,115,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,MAPUR,TPS 1,163,51,163,51,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 01,91,64,91,64,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,KELONG,TPS 7,136,42,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 02,86,62,86,62,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,KELONG,TPS 5,149,26,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,MAPUR,TPS 2,84,15,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 04,137,28,137,28,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,KELONG,TPS 4,141,5,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 08,26,32,26,32,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,AIR GELUBI,TPS 2,98,40,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,MAPUR,TPS 3,147,41,147,41,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 07,92,14,92,14,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,NUMBING,TPS 06,169,38,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,AIR GELUBI,TPS 1,147,48,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,KELONG,TPS 2,124,42,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN PESISIR,KELONG,TPS 3,187,31,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,GUNUNG LENGKUAS,TPS 16,91,107,91,107,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 36,83,157,83,157,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 05,107,96,107,96,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 01,0,0,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 23,168,32,168,32,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,GUNUNG LENGKUAS,TPS 10,195,32,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 09,115,163,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 18,95,82,95,82,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 31,172,102,172,102,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 50,84,153,84,153,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 20,67,122,67,122,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 57,112,24,112,24,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 49,109,135,109,135,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 12,105,54,126,85,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 42,95,45,95,45,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 18,81,69,81,69,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 53,91,79,91,79,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI ENAM,TPS 5,100,44,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI ENAM,TPS 3,99,93,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 52,116,119,116,119,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 11,126,108,126,108,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 06,160,107,160,107,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 19,96,116,96,116,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 30,168,50,168,50,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 43,102,107,102,107,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,GUNUNG LENGKUAS,TPS 11,113,98,113,98,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 64,109,80,109,80,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 59,94,78,94,78,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 26,143,85,143,85,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 04,96,170,96,170,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 40,131,79,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,GUNUNG LENGKUAS,TPS 04,116,120,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 70,92,44,92,44,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 15,153,62,153,62,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI ENAM,TPS 6,106,102,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 37,128,114,128,114,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI ENAM,TPS 2,94,172,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,GUNUNG LENGKUAS,TPS 13,90,82,90,82,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI ENAM,TPS 1,88,102,0,0,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 25,104,85,104,85,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 67,114,68,114,68,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 12,118,85,118,85,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,KIJANG KOTA,TPS 29,108,89,108,89,0,0,0,0
KEPULAUAN RIAU,BINTAN,BINTAN TIMUR,SUNGAI LEKOP,TPS 07,82,96,82,96,0,0,0,0
