Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
MALUKU UTARA,HALMAHERA TENGAH,WEDA,NUSLIKO,TPS 2,125,8,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,PULAU MAKIAN,KYOWOR,TPS 2,0,0,0,0,0,0,0,0
MALUKU UTARA,KOTA TIDORE KEPULAUAN,OBA SELATAN,WAMA,TPS 3,17,112,17,112,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,MANGOLI UTARA TIMUR,KAWATA,TPS 6,13,188,0,0,0,0,0,0
MALUKU UTARA,KOTA TERNATE,PULAU TERNATE,JAMBULA,TPS 03,49,117,49,117,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,MANGOLI TENGAH,MANGOLI,TPS 3,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA BARAT,IBU SELATAN,BATAKA,TPS 6,0,0,98,44,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,MANGOLI BARAT,DOFA,TPS 3,10,180,10,180,0,0,0,0
MALUKU UTARA,PULAU MOROTAI,MOROTAI UTARA,LUSUO,TPS 4,27,167,27,167,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,TOBELO,RAWAJAYA,TPS 12,57,85,57,85,0,0,0,0
MALUKU UTARA,HALMAHERA TIMUR,WASILE TENGAH,BOKIMAAKE,TPS 2,33,170,33,170,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,MANGOLI BARAT,DOFA,TPS 5,34,132,34,132,0,0,0,0
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE UTARA,SANGADJI,TPS 03,23,111,23,111,23,111,0,0
MALUKU UTARA,HALMAHERA TIMUR,WASILE TIMUR,DODAGA,TPS 3,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA TIMUR,MABA SELATAN,SOWOLI,TPS 1,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,OBI SELATAN,SOLIGI,TPS 4,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,TOBELO,GOSOMA,TPS 11,61,64,61,64,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,SANANA,WAI IPA,TPS 6,24,181,0,0,0,0,0,0
MALUKU UTARA,PULAU MOROTAI,MOROTAI UTARA,YAO,TPS 1,170,14,170,14,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,OBI SELATAN,WAYALOAR,TPS 2,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,TOBELO UTARA,GORUA UTARA,TPS 3,0,0,26,169,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,TOBELO UTARA,TOLONUO,TPS 1,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA TENGAH,WEDA TENGAH,SAWAI ITEPO,TPS 2,190,13,0,0,0,0,0,0
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE SELATAN,TANAH TINGGI BARAT,TPS 5,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,BACAN,AMASING KOTA UTARA,TPS 3,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,OBI SELATAN,GAMBARU,TPS 2,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA BARAT,JAILOLO,BOBANEHENA,TPS 1,130,130,130,130,0,0,0,0
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE SELATAN,BASTIONG TALANGAME,TPS 12,46,78,46,78,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,GALELA UTARA,BOBISINGO,TPS 1,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,TOBELO SELATAN,PACA,TPS 4,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA TENGAH,WEDA,WEDANA,TPS 2,87,148,0,0,0,0,0,0
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE UTARA,TAFURE,TPS 05,19,97,19,97,0,0,0,0
MALUKU UTARA,HALMAHERA TIMUR,MABA,GELTOLI,TPS 4,0,0,0,0,0,0,0,0
MALUKU UTARA,PULAU MOROTAI,MOROTAI TIMUR,DOKU MIRA,TPS 2,38,94,38,94,0,0,0,0
MALUKU UTARA,KOTA TIDORE KEPULAUAN,OBA TENGAH,FANAHA,TPS 1,20,127,20,127,0,0,0,0
MALUKU UTARA,HALMAHERA BARAT,IBU SELATAN,TALAGA,TPS 2,12,137,12,137,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,BACAN TIMUR SELATAN,WAYAUA,TPS 6,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA TENGAH,PATANI,YONDELIU,TPS 1,120,80,120,80,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,BACAN TIMUR SELATAN,WAYAUA,TPS 1,0,0,0,0,0,0,0,0
MALUKU UTARA,PULAU MOROTAI,MOROTAI SELATAN,DARUBA,TPS 6,51,164,51,164,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,GALELA BARAT,KIRA,TPS 1,51,113,51,113,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,MANDIOLI UTARA,AKEDABO,TPS 2,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA TENGAH,WEDA SELATAN,AIR SALOBAR,TPS 1,126,117,126,117,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,SANANA,WAILAU,TPS 2,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,KEPULAUAN BOTANGLOMANG,PRAPAKANDA,TPS 3,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA TENGAH,WEDA TENGAH,LILILEF  SAWAI,TPS 3,174,19,174,19,0,0,0,0
MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE,GOTO,TPS 6,71,92,71,92,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,GANE BARAT,SAKETA,TPS 6,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,TOBELO,GOSOMA,TPS 12,98,67,98,67,0,0,0,0
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE UTARA,KASTURIAN,TPS 04,39,117,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,KEPULAUAN BOTANGLOMANG,BATUTAGA,TPS 1,0,0,0,0,0,0,0,0
MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE SELATAN,MARE GAM,TPS 1,76,71,0,0,0,0,0,0
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE UTARA,SANGAJI UTARA,TPS 10,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA SELATAN,OBI UTARA,CAP,TPS 1,0,0,0,0,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,MANGOLI BARAT,DOFA,TPS 7,16,126,16,126,0,0,0,0
MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE UTARA,JAYA,TPS 2,33,59,33,59,0,0,0,0
MALUKU UTARA,PULAU MOROTAI,MOROTAI UTARA,TANJUNG SALEH,TPS 2,37,161,37,161,0,0,0,0
MALUKU UTARA,HALMAHERA TENGAH,PATANI UTARA,BILIFITU,TPS 3,155,54,155,54,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,MANGOLI TENGAH,CAPALULU,TPS 1,27,194,27,194,0,0,0,0
MALUKU UTARA,HALMAHERA BARAT,IBU UTARA,SOASANGAJI,TPS 1,0,0,0,0,0,0,0,0
MALUKU UTARA,HALMAHERA UTARA,TOBELO TIMUR,KATANA,TPS 1,172,8,0,0,0,0,0,0
MALUKU UTARA,KOTA TIDORE KEPULAUAN,OBA,PAYAHE,TPS 05,134,10,134,10,0,0,0,0
MALUKU UTARA,KOTA TERNATE,KOTA TERNATE TENGAH,KAMPUNG PISANG,TPS 3,44,109,44,109,0,0,0,0
