Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
PAPUA BARAT,KAIMANA,KAIMANA,KAIMANA KOTA,TPS 18,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,WAYER,WAYER,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KAIMANA,KAIMANA,KAIMANA KOTA,TPS 09,0,0,0,0,0,0,0,0
PAPUA BARAT,TAMBRAUW,SELEMKAI,DELA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MAYBRAT,AITINYO,AFKREM,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,MALADUM MES,TAMPA GARAM,TPS 13,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG UTARA,MATALAMAGI,TPS 06,53,80,53,80,0,0,0,0
PAPUA BARAT,MAYBRAT,AIFAT SELATAN,KISOR,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,TELUK PATIPI,US,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,WEMAK,KAMLIN,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK WONDAMA,WASIOR,MANIWAK,TPS 10,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,WOSI,TPS 82,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,BERAUR,WENSI,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,TAMBRAUW,TOBOUW,KRISNOS,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG UTARA,MALASILEN,TPS 07,0,0,128,149,0,0,0,0
PAPUA BARAT,TAMBRAUW,MANEKAR,ATAI,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,MBAHAMDANDARA,DAREMBANG,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG KOTA,KLABALA,TPS 05,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG TIMUR,KLAWUYUK,TPS 28,0,0,86,45,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,WOSI,TPS 80,0,0,0,0,0,0,0,0
PAPUA BARAT,RAJA AMPAT,WAIGEO UTARA,ASUKWERI,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG MANOI,MALAWEI,TPS 04,256,32,256,32,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,SUMURI,TANAH MERAH,TPS 2,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,WOSI,TPS 48,0,0,32,96,32,96,0,0
PAPUA BARAT,KOTA SORONG,SORONG,KOFKERBU,TPS 02,156,15,156,15,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,AMBAN,TPS 46,0,0,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,PARIWARI,WAGOM UTARA,TPS 4,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK WONDAMA,WASIOR,MANIWAK,TPS 01,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI SELATAN,MARUNI,TPS 4,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,KLASAFET,KLAWILIBE,TPS 1,38,0,0,0,0,0,0,0
PAPUA BARAT,MAYBRAT,AIFAT SELATAN,SAME  RAKATOR,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI BARAT,TPS 22,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG UTARA,MALANU,TPS 10,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI BARAT,TPS 41,0,0,0,0,0,0,0,0
PAPUA BARAT,PEGUNUNGAN ARFAK,ANGGI GIDA,TUBYAM,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MAYBRAT,AITINYO TENGAH,AWIT,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,MARIAT,KLABEN,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI TIMUR,TPS 17,0,0,0,0,0,0,0,0
PAPUA BARAT,RAJA AMPAT,WAIGEO SELATAN,SAPORKREN,TPS 1,203,4,203,4,0,0,0,0
PAPUA BARAT,SORONG,HOBARD,HOBARD,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,AIMAS,KLAFMA,TPS 05,0,0,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,FAK-FAK TENGAH,DANAWERIA,TPS 03,0,0,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,FAK-FAK TENGAH,KAYU MERAH,TPS 2,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,MOSKONA BARAT,MAJNIC,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KAIMANA,TELUK ETNA,SIAWATAN,TPS 2,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,TEMINABUAN,KAIBUS,TPS 08,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,MALAIMSIMSA,MALAINGKEDI,TPS 02,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,WARMARE,HINGK,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,SUMURI,TOFOI,TPS 06,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,TUHIBA,KUCIR,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,AIMAS,MALASOM,TPS 06,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,INANWATAN,SIBAE,TPS 2,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,MALAIMSIMSA,KLABULU,TPS 20,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI SELATAN,SOWI,TPS 08,0,0,0,0,0,0,0,0
PAPUA BARAT,RAJA AMPAT,KOFIAU,DEER,TPS 3,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,AIMAS,AIMAS,TPS 02,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG MANOI,MALAWEI,TPS 19,52,123,52,123,0,0,0,0
PAPUA BARAT,MANOKWARI SELATAN,DATARAN ISIM,SIBJO,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,MAYAMUK,MAKBUSUN,TPS 01,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI SELATAN,RANSIKI,RANSIKI,TPS 5,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,MAYAMUK,MAKOTYAMSA,TPS 7,99,71,99,71,0,0,0,0
PAPUA BARAT,FAKFAK,TELUK PATIPI,TIBATIBANANAM,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG,REMU UTARA,TPS 09,95,2,95,2,0,0,0,0
PAPUA BARAT,SORONG,MOISEGEN,KLASARI,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KAIMANA,KAIMANA,COA,TPS 4,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,KOKODA,ARBASINA,TPS 2,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,KOKODA UTARA,BENAWA DUA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,RAJA AMPAT,SALAWATI BARAT,SOLOL,TPS 2,124,5,124,5,0,0,0,0
PAPUA BARAT,FAKFAK,FAK-FAK,FAK FAK UTARA,TPS 02,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG BARAT,KLAWASI,TPS 20,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK WONDAMA,WAMESA,YARPATE,TPS 1,70,6,70,6,0,0,0,0
PAPUA BARAT,SORONG,SALAWATI,KATINIM,TPS 2,115,39,115,39,0,0,0,0
PAPUA BARAT,SORONG SELATAN,SAIFI,KNAYA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG,KLADEMAK,TPS 09,147,3,147,3,0,0,0,0
PAPUA BARAT,SORONG,AIMAS,MALAWILI,TPS 23,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,BINTUNI,BINTUNI TIMUR,TPS 24,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG BARAT,PUNCAK CENDRAWASIH,TPS 08,0,0,165,12,0,0,0,0
PAPUA BARAT,KAIMANA,BURUWAY,YARONA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI BARAT,TPS 17,0,0,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,KOKAS,KINAM,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,PEGUNUNGAN ARFAK,TAIGE,TRIDAGA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KAIMANA,BURUWAY,KAMBALA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI BARAT,TPS 58,0,0,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,PARIWARI,KAPAURTUTIN,TPS 3,0,0,0,0,0,0,0,0
PAPUA BARAT,MAYBRAT,AYAMARU UTARA TIMUR,KOSAH,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,RAJA AMPAT,MEOS MANSAR,KABUY,TPS 1,108,20,108,20,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG KEPULAUAN,DUM TIMUR,TPS 15,111,2,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,FAK-FAK,FAK FAK UTARA,TPS 11,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,SANGGENG,TPS 37,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG TIMUR,KLAWUYUK,TPS 14,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,AMBAN,TPS 24,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI SELATAN,ANDAY,TPS 02,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,TANAH RUBUH,UKOPTI,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG,KOFKERBU,TPS 08,117,10,117,10,0,0,0,0
PAPUA BARAT,KAIMANA,KAIMANA,KAIMANA KOTA,TPS 20,0,0,0,0,0,0,0,0
PAPUA BARAT,PEGUNUNGAN ARFAK,MINYAMBOUW,MICONTI,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,WOSI,TPS 97,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,MALAIMSIMSA,MALAINGKEDI,TPS 25,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,BINTUNI,BINTUNI BARAT,TPS 02,0,0,0,0,0,0,0,0
PAPUA BARAT,PEGUNUNGAN ARFAK,ANGGI GIDA,KROBUT,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,KOKODA UTARA,KAMUNDAN SATU,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MAYBRAT,AIFAT TIMUR TENGAH,FAAN KAHRIO,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MAYBRAT,AIFAT SELATAN,YEEK,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG MANOI,MALABUTOR,TPS 04,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,KAITARO,WARGA NUSA I,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,MASYETA,KALIBIRU,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,AIMAS,MALAWELE,TPS 02,0,0,0,0,0,0,0,0
PAPUA BARAT,FAKFAK,FURWAGI,TWOOTKINDIK,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,MALAIMSIMSA,MALAINGKEDI,TPS 23,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,TEMINABUAN,TAPIRI,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI SELATAN,MOMI - WAREN,NIJ,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG MANOI,MALAWEI,TPS 21,48,157,48,157,0,0,0,0
PAPUA BARAT,SORONG,MARIAT,KLAMALU,TPS 07,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,TEMINABUAN,WERNAS,TPS 6,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI BARAT,TPS 61,0,0,0,0,0,0,0,0
PAPUA BARAT,TAMBRAUW,MIYAH,AYAE,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,TAMBRAUW,SENOPI,SUMO,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,KAIMANA,KAIMANA,KAIMANA KOTA,TPS 44,0,0,0,0,0,0,0,0
PAPUA BARAT,RAJA AMPAT,SALAWATI TENGAH,WAIBU,TPS 2,28,167,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG BARAT,PUNCAK CENDRAWASIH,TPS 03,0,0,167,1,0,0,0,0
PAPUA BARAT,MANOKWARI,PRAFI,AIMASI,TPS 6,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK WONDAMA,RUMBERPON,YEMBEKIRI I,TPS 1,205,7,205,7,0,0,0,0
PAPUA BARAT,KOTA SORONG,KLAURUNG,KLASAMAN,TPS 13,88,72,88,72,0,0,0,0
PAPUA BARAT,MANOKWARI,MASNI,MOUBJA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,SANGGENG,TPS 29,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG MANOI,REMU SELATAN,TPS 29,71,90,71,90,0,0,0,0
PAPUA BARAT,SORONG SELATAN,SEREMUK,HAHA,TPS 2,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,PRAFI,WASEKI INDAH,TPS 3,0,0,0,0,0,0,0,0
PAPUA BARAT,TAMBRAUW,MIYAH,SIAKWA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG SELATAN,METEMANI,PURAGI,TPS 2,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,MAYAMUK,MAKBUSUN,TPS 16,37,105,37,105,0,0,0,0
PAPUA BARAT,FAKFAK,WARTUTIN,SIPATNANAM,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,MANOKWARI TIMUR,TPS 27,0,0,0,0,0,0,0,0
PAPUA BARAT,MANOKWARI,MASNI,SUMBER BOGA,TPS 4,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG,KLADEMAK,TPS 01,222,20,222,20,0,0,0,0
PAPUA BARAT,SORONG,MARIAT,KLAMASEN,TPS 4,0,0,0,0,0,0,0,0
PAPUA BARAT,SORONG,SALAWATI,MAJARAN,TPS 03,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG MANOI,MALAWEI,TPS 11,0,0,0,0,0,0,0,0
PAPUA BARAT,KOTA SORONG,SORONG MANOI,REMU SELATAN,TPS 26,59,69,59,69,0,0,0,0
PAPUA BARAT,MANOKWARI,MANOKWARI SELATAN,DIHARA,TPS 1,0,0,0,0,0,0,0,0
PAPUA BARAT,TELUK BINTUNI,BINTUNI,BINTUNI TIMUR,TPS 15,0,0,0,0,0,0,0,0
