Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SULAWESI SELATAN,BULUKUMBA,KINDANG,MATTIRO WALIE,TPS 2,34,169,34,169,0,0,0,0
SULAWESI SELATAN,KOTA MAKASSAR,BIRING KANAYA,SUDIANG RAYA,TPS 04,51,120,0,0,0,0,0,0
SULAWESI SELATAN,KOTA MAKASSAR,BIRING KANAYA,SUDIANG,TPS 19,0,0,0,0,0,0,0,0
SULAWESI SELATAN,LUWU TIMUR,NUHA,SOROWAKO,TPS 07,60,126,60,126,0,0,0,0
SULAWESI SELATAN,LUWU,LAROMPONG SELATAN,BONE PUTE,TPS 3,85,113,0,0,0,0,0,0
SULAWESI SELATAN,WAJO,BELAWA,MALAKKE,TPS 05,125,88,0,0,0,0,0,0
SULAWESI SELATAN,PINRANG,SUPPA,MARITENGNGAE,TPS 4,86,126,0,0,0,0,0,0
SULAWESI SELATAN,LUWU,SULI,MALELA,TPS 5,17,161,0,0,0,0,0,0
SULAWESI SELATAN,GOWA,TINGGIMONCONG,PATTAPANG,TPS 12,0,0,0,0,0,0,0,0
SULAWESI SELATAN,KOTA MAKASSAR,MAKASSAR,BARA BARAYA UTARA,TPS 14,0,0,0,0,0,0,0,0
SULAWESI SELATAN,TAKALAR,PATTALLASSANG,MARADEKAYA,TPS 4,0,0,76,101,0,0,0,0
SULAWESI SELATAN,KOTA PALOPO,WARA TIMUR,PONTAP,TPS 04,82,145,0,0,0,0,0,0
SULAWESI SELATAN,MAROS,MAROS BARU,PALLANTIKANG,TPS 09,87,100,87,100,0,0,0,0
SULAWESI SELATAN,BONE,TANETE RIATTANG,TA,TPS 17,146,141,0,0,0,0,0,0
SULAWESI SELATAN,SIDENRENG RAPPANG,PANCA LAUTANG,WANIO,TPS 4,100,86,0,0,0,0,0,0
SULAWESI SELATAN,KOTA PARE PARE,UJUNG,UJUNG SABBANG,TPS 02,59,131,59,131,0,0,0,0
SULAWESI SELATAN,ENREKANG,BARAKA,SALUKANAN,TPS 2,47,164,47,164,0,0,0,0
SULAWESI SELATAN,TAKALAR,GALESONG,BODDIA,TPS 08,66,123,65,125,0,0,0,0
SULAWESI SELATAN,SOPPENG,MARIORIWAWO,MARIORIAJA,TPS 11,51,99,51,99,0,0,0,0
SULAWESI SELATAN,MAROS,CAMBA,PATANYAMANG,TPS 3,0,0,0,0,0,0,0,0
SULAWESI SELATAN,KOTA MAKASSAR,MAKASSAR,MARDEKAYA,TPS 02,128,77,128,77,0,0,0,0
SULAWESI SELATAN,KOTA PALOPO,WARA SELATAN,BINTURU,TPS 4,43,168,0,0,0,0,0,0
SULAWESI SELATAN,LUWU UTARA,BAEBUNTA,RADDA,TPS 01,0,0,0,0,0,0,0,0
SULAWESI SELATAN,MAROS,MAROS BARU,BAJU BODOA,TPS 02,0,0,0,0,0,0,0,0
SULAWESI SELATAN,KOTA MAKASSAR,RAPOCINI,BANTA BANTAENG,TPS 22,0,0,0,0,0,0,0,0
SULAWESI SELATAN,KOTA PARE PARE,BACUKIKI BARAT,KAMPUNG BARU,TPS 16,77,121,0,0,0,0,0,0
SULAWESI SELATAN,KOTA MAKASSAR,BIRING KANAYA,BERUA,TPS 49,0,0,0,0,0,0,0,0
SULAWESI SELATAN,JENEPONTO,BINAMU,SAPANANG,TPS 10,11,168,11,169,0,0,0,0
SULAWESI SELATAN,GOWA,BONTOLEMPANGANG,JULUMATENE,TPS 1,52,63,52,63,0,0,0,0
SULAWESI SELATAN,BULUKUMBA,RILAUALE,BULO LOHE,TPS 7,52,163,52,163,0,0,0,0
SULAWESI SELATAN,KOTA PALOPO,WARA,BOTING,TPS 04,117,47,0,0,0,0,0,0
SULAWESI SELATAN,KOTA MAKASSAR,PANAKUKKANG,KARUWISI UTARA,TPS 14,0,0,0,0,0,0,0,0
SULAWESI SELATAN,BULUKUMBA,GANTARANG,BAROMBONG,TPS 3,65,160,0,0,0,0,0,0
SULAWESI SELATAN,TAKALAR,POLOMBANGKENG UTARA,PARANG LUARA,TPS 7,61,135,0,0,0,0,0,0
SULAWESI SELATAN,BARRU,TANETE RIAJA,HARAPAN,TPS 12,108,34,0,0,0,0,0,0
SULAWESI SELATAN,LUWU UTARA,MAPPEDECENG,BENTENG,TPS 2,0,0,0,0,0,0,0,0
