Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SULAWESI TENGAH,BANGGAI,PAGIMANA,GOMUO,TPS 1,0,0,0,0,0,0,0,0
SULAWESI TENGAH,BANGGAI,BUALEMO,MALIK MAKMUR,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGAH,TOLITOLI,DONDO,TINABOGAN,TPS 6,35,50,0,0,0,0,0,0
SULAWESI TENGAH,KOTA PALU,PALU BARAT,LERE,TPS 04,0,0,0,0,0,0,0,0
SULAWESI TENGAH,POSO,POSO PESISIR,SAATU,TPS 2,173,24,173,24,0,0,0,0
SULAWESI TENGAH,DONGGALA,BALAESANG,SIPURE,TPS 1,96,117,96,117,0,0,0,0
SULAWESI TENGAH,BANGGAI,TOILI BARAT,KAMI WANGI,TPS 1,0,0,0,0,0,0,0,0
SULAWESI TENGAH,SIGI,KINOVARO,BOLOBIA,TPS 1,152,19,152,19,0,0,0,0
SULAWESI TENGAH,TOLITOLI,OGODEIDE,PULIAS,TPS 4,39,72,0,0,0,0,0,0
SULAWESI TENGAH,BANGGAI,LUWUK TIMUR,KAYUTANYO,TPS 3,0,0,0,0,0,0,0,0
SULAWESI TENGAH,MOROWALI,BAHODOPI,MAKARTIJAYA,TPS 3,68,137,0,0,0,0,0,0
SULAWESI TENGAH,TOJO UNA-UNA,TOGEAN,BUNGAYO,TPS 1,33,164,33,164,0,0,0,0
SULAWESI TENGAH,TOJO UNA-UNA,UNA UNA,LUANGON,TPS 2,94,37,0,0,0,0,0,0
SULAWESI TENGAH,PARIGI MOUTONG,TORUE,ASTINA,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGAH,TOJO UNA-UNA,ULUBONGKA,BONEVOTO,TPS 1,0,0,0,0,0,0,0,0
SULAWESI TENGAH,PARIGI MOUTONG,AMPIBABO,TANAMPEDAGI,TPS 3,0,0,0,0,0,0,0,0
SULAWESI TENGAH,PARIGI MOUTONG,TINOMBO SELATAN,TADA UTARA,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGAH,KOTA PALU,ULUJADI,WATUSAMPU,TPS 1,0,0,0,0,0,0,0,0
SULAWESI TENGAH,MOROWALI UTARA,PETASIA,BAHOUE,TPS 6,0,0,0,0,0,0,0,0
SULAWESI TENGAH,TOJO UNA-UNA,TOGEAN,LEBITI,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGAH,SIGI,PIPIKORO,PEANA,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGAH,MOROWALI,BUNGKU SELATAN,UMBELE,TPS 1,63,174,63,174,0,0,0,0
SULAWESI TENGAH,BANGGAI,LUWUK,SOHO,TPS 3,0,0,0,0,0,0,0,0
SULAWESI TENGAH,KOTA PALU,MANTIKULORE,LASOANI,TPS 30,0,0,0,0,0,0,0,0
SULAWESI TENGAH,BUOL,BIAU,BUOL,TPS 14,96,122,96,122,0,0,0,0
SULAWESI TENGAH,KOTA PALU,MANTIKULORE,TALISE,TPS 21,0,0,0,0,0,0,0,0
SULAWESI TENGAH,BANGGAI KEPULAUAN,BUKO,TATENDENG,TPS 2,190,24,190,24,0,0,0,0
SULAWESI TENGAH,SIGI,PIPIKORO,LONEBASA,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGAH,POSO,POSO PESISIR,TIWAA,TPS 1,74,107,0,0,0,0,0,0
SULAWESI TENGAH,POSO,POSO PESISIR SELATAN,TANGKURA,TPS 4,208,24,208,24,0,0,0,0
SULAWESI TENGAH,MOROWALI UTARA,MAMOSALATO,TANANAGAYA,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGAH,MOROWALI,BUNGKU TENGAH,PUUNGKOILU,TPS 2,32,174,32,174,0,0,0,0
SULAWESI TENGAH,TOJO UNA-UNA,UNA UNA,WAKAI,TPS 4,96,99,96,99,0,0,0,0
SULAWESI TENGAH,POSO,POSO KOTA,KAYAMANYA,TPS 08,0,0,0,0,0,0,0,0
SULAWESI TENGAH,BANGGAI,NUHON,TIBOMBO,TPS 1,0,0,0,0,0,0,0,0
SULAWESI TENGAH,POSO,LAGE,LABUADAGO,TPS 4,121,11,0,0,0,0,0,0
SULAWESI TENGAH,TOLITOLI,GALANG,KALANGKANGAN,TPS 12,97,123,97,123,0,0,0,0
SULAWESI TENGAH,BANGGAI,BUNTA,KALAKA,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGAH,SIGI,DOLO BARAT,MANTIKOLE,TPS 1,0,0,0,0,0,0,0,0
SULAWESI TENGAH,MOROWALI,BUNGKU SELATAN,PULAU DUA,TPS 1,16,149,16,149,0,0,0,0
SULAWESI TENGAH,MOROWALI,BUNGKU TENGAH,MATANO,TPS 1,113,137,113,137,0,0,0,0
SULAWESI TENGAH,BANGGAI KEPULAUAN,LIANG,BASOSOL,TPS 1,142,28,142,28,0,0,0,0
SULAWESI TENGAH,SIGI,LINDU,PUROO,TPS 3,0,0,0,0,0,0,0,0
SULAWESI TENGAH,TOJO UNA-UNA,TOJO BARAT,MAWOMBA,TPS 2,66,126,0,0,0,0,0,0
SULAWESI TENGAH,SIGI,TANAMBULAVA,SIBALAYA SELATAN,TPS 3,125,93,125,93,0,0,0,0
