Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SULAWESI TENGGARA,KONAWE SELATAN,TINANGGEA,WATU MELEWE,TPS 2,118,109,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA UTARA,PAKUE TENGAH,KALAHUNDE,TPS 1,56,74,56,74,0,0,0,0
SULAWESI TENGGARA,BOMBANA,POLEANG BARAT,PABIRING,TPS 2,0,0,0,0,0,0,0,0
SULAWESI TENGGARA,MUNA BARAT,LAWA,WATUMELA,TPS 2,52,90,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,LAEYA,LABOKEO,TPS 2,30,162,0,0,0,0,0,0
SULAWESI TENGGARA,MUNA,MALIGANO,RAIMUNA,TPS 3,129,112,129,112,0,0,0,0
SULAWESI TENGGARA,BUTON TENGAH,MAWASANGKA TENGAH,LAKORUA,TPS 4,31,102,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON SELATAN,LAPANDEWA,LAPANDEWA,TPS 3,78,49,78,49,0,0,0,0
SULAWESI TENGGARA,BUTON UTARA,BONEGUNU,DAMAI LABORONA,TPS 1,158,65,0,0,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,MURHUM,BAADIA,TPS 6,0,0,0,0,0,0,0,0
SULAWESI TENGGARA,KOLAKA UTARA,TIWU,MATTIRO BULU,TPS 2,142,48,142,48,0,0,0,0
SULAWESI TENGGARA,WAKATOBI,WANGI WANGI SELATAN,MOLA UTARA,TPS 1,83,108,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON TENGAH,G U,BOMBONAWULU,TPS 02,62,111,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE,ONEMBUTE,KASUMEIA,TPS 2,129,80,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON SELATAN,SIOMPU BARAT,MOLONA,TPS 5,0,0,0,0,0,0,0,0
SULAWESI TENGGARA,BOMBANA,POLEANG,POKORUMBA,TPS 2,49,172,0,0,0,0,0,0
SULAWESI TENGGARA,WAKATOBI,TOMIA,LAMANGGAU,TPS 1,107,68,107,68,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,WOLIO,BATARAGURU,TPS 19,87,53,87,53,0,0,0,0
SULAWESI TENGGARA,BOMBANA,POLEANG BARAT,LAMEONG-MEONG,TPS 2,74,127,74,127,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,BUNGI,LIABUKU,TPS 2,122,57,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,LAONTI,TAMBEANGA,TPS 1,8,138,8,138,0,0,0,0
SULAWESI TENGGARA,KOLAKA TIMUR,DANGIA,LEMBAH SUBUR,TPS 6,21,103,0,0,0,0,0,0
SULAWESI TENGGARA,KOTA BAU BAU,KOKALUKUNA,KADOLOMOKO,TPS 08,81,106,0,0,0,0,0,0
SULAWESI TENGGARA,MUNA BARAT,KUSAMBI,KASAKAMU,TPS 3,51,128,0,0,0,0,0,0
SULAWESI TENGGARA,MUNA,NAPABALANO,LAMBIKU,TPS 4,90,72,90,72,0,0,0,0
SULAWESI TENGGARA,KONAWE,LATOMA,AMBONIKI,TPS 1,28,80,28,80,0,0,0,0
SULAWESI TENGGARA,BUTON,SIOTAPINA,MATANAUWE,TPS 5,69,66,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE SELATAN,ANDOOLO BARAT,LAPOA INDAH,TPS 1,98,126,98,126,0,0,0,0
SULAWESI TENGGARA,KONAWE UTARA,SAWA,PEKAROA,TPS 1,31,87,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON SELATAN,BATAUGA,MOLAGINA,TPS 1,83,29,0,0,0,0,0,0
SULAWESI TENGGARA,KONAWE,LALONGGASUMEETO,NII TANASA,TPS 1,37,109,0,0,0,0,0,0
SULAWESI TENGGARA,KOTA KENDARI,MANDONGA,KORUMBA,TPS 23,71,96,71,96,0,0,0,0
SULAWESI TENGGARA,KONAWE,SAMPARA,ANDADOWI,TPS 2,70,126,70,126,0,0,0,0
SULAWESI TENGGARA,KONAWE,UNAAHA,WAWONGGOLE,TPS 1,66,162,66,162,0,0,0,0
SULAWESI TENGGARA,BUTON TENGAH,MAWASANGKA TIMUR,BATUBANAWA,TPS 1,65,45,0,0,0,0,0,0
SULAWESI TENGGARA,MUNA,NAPABALANO,TAMPO,TPS 2,50,155,50,155,0,0,0,0
SULAWESI TENGGARA,KOLAKA,KOLAKA,LALOEHA,TPS 14,78,125,78,125,0,0,0,0
SULAWESI TENGGARA,KONAWE UTARA,WAWOLESEA,TANJUNG BUNGA,TPS 1,134,109,0,0,0,0,0,0
