Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SULAWESI UTARA,MINAHASA UTARA,WORI,MANTEHAGE/BANGO,TPS 2,138,10,0,0,0,0,0,0
SULAWESI UTARA,KOTA MANADO,PAAL DUA,KAIRAGI WERU,TPS 4,0,0,0,0,0,0,0,0
SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,TAMBUNG,TPS 1,156,5,0,0,0,0,0,0
SULAWESI UTARA,KOTA MANADO,BUNAKEN,PANDU,TPS 12,0,0,0,0,0,0,0,0
SULAWESI UTARA,MINAHASA,TONDANO SELATAN,MAESA UNIMA,TPS 2,0,0,0,0,0,0,0,0
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,BOLANGITANG BARAT,BOLANGITANG I,TPS 2,100,128,0,0,0,0,0,0
SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,KALAMA,TPS 1,114,5,0,0,0,0,0,0
SULAWESI UTARA,KOTA MANADO,MALALAYANG,MALALAYANG SATU TIMUR,TPS 11,0,0,0,0,0,0,0,0
SULAWESI UTARA,MINAHASA TENGGARA,BELANG,BUKU TENGAH,TPS 1,119,101,0,0,0,0,0,0
SULAWESI UTARA,KOTA KOTAMOBAGU,KOTAMOBAGU TIMUR,MATALI,TPS 04,30,200,30,200,0,0,0,0
SULAWESI UTARA,KEPULAUAN TALAUD,BEO,BANTIK LAMA,TPS 1,141,6,141,6,0,0,0,0
SULAWESI UTARA,MINAHASA UTARA,DIMEMBE,TATELU,TPS 4,0,0,0,0,0,0,0,0
SULAWESI UTARA,KOTA BITUNG,LEMBEH SELATAN,BATULUBANG,TPS 10,164,5,0,0,0,0,0,0
SULAWESI UTARA,KOTA MANADO,TUMINTING,MAASING,TPS 13,75,139,0,0,0,0,0,0
SULAWESI UTARA,KOTA MANADO,MALALAYANG,WINANGUN SATU,TPS 12,0,0,0,0,0,0,0,0
SULAWESI UTARA,KOTA MANADO,SINGKIL,SINGKIL DUA,TPS 22,73,40,73,40,0,0,0,0
SULAWESI UTARA,MINAHASA TENGGARA,SILIAN RAYA,SILIAN DUA,TPS 1,136,13,0,0,0,0,0,0
SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA BARAT,KOLONGAN BEHA,TPS 1,188,12,188,12,0,0,0,0
SULAWESI UTARA,KEPULAUAN TALAUD,BEO SELATAN,RUSO,TPS 1,167,22,167,22,0,0,0,0
SULAWESI UTARA,KOTA BITUNG,MADIDIR,MADIDIR URE,TPS 10,180,2,180,2,0,0,0,0
