Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SUMATERA BARAT,KOTA PADANG,LUBUK BEGALUNG,GATES NAN XX,TPS 03,9,176,9,176,0,0,0,0
SUMATERA BARAT,KOTA PADANG,KURANJI,KALUMBUK,TPS 21,9,246,9,246,0,0,0,0
SUMATERA BARAT,PASAMAN,LUBUK SIKAPING,TANJUANG BARINGIN,TPS 20,12,168,12,168,0,0,0,0
SUMATERA BARAT,SIJUNJUNG,KUPITAN,PADANG SIBUSUK,TPS 05,14,127,0,0,0,0,0,0
SUMATERA BARAT,KOTA PAYAKUMBUH,PAYAKUMBUH TIMUR,PADANG TANGAH PAYOBADAR,TPS 8,23,152,0,0,0,0,0,0
SUMATERA BARAT,PADANG PARIAMAN,IV KOTO AUR MALINTANG,III KOTO AUR MALINTANG SELATAN,TPS 05,16,93,16,93,0,0,0,0
SUMATERA BARAT,KEPULAUAN MENTAWAI,SIPORA SELATAN,SIOBAN,TPS 7,111,29,111,29,0,0,0,0
SUMATERA BARAT,SOLOK,GUNUNG TALANG,TALANG,TPS 12,9,115,0,0,0,0,0,0
SUMATERA BARAT,PASAMAN,PANTI,PANTI SELATAN,TPS 28,6,171,6,171,0,0,0,0
SUMATERA BARAT,KOTA PADANG,BUNGUS TELUK KABUNG,BUNGUS BARAT,TPS 04,11,160,11,160,11,160,0,0
SUMATERA BARAT,PESISIR SELATAN,LENGAYANG,KAMBANG,TPS 11,27,155,27,155,0,0,0,0
SUMATERA BARAT,PASAMAN BARAT,LUHAK NAN DUO,KOTO BARU,TPS 22,0,0,0,0,0,0,0,0
SUMATERA BARAT,DHARMASRAYA,KOTO BARU,KOTO BARU,TPS 11,36,196,36,196,0,0,0,0
SUMATERA BARAT,AGAM,LUBUK BASUNG,MANGGOPOH,TPS 43,14,192,14,192,0,0,0,0
SUMATERA BARAT,PADANG PARIAMAN,SINTUAK TOBOH GADANG,TOBOH GADANG SELATAN,TPS 4,21,118,21,118,0,0,0,0
SUMATERA BARAT,KOTA PAYAKUMBUH,PAYAKUMBUH TIMUR,PADANG TANGAH PAYOBADAR,TPS 7,15,204,0,0,0,0,0,0
SUMATERA BARAT,SOLOK,DANAU KEMBAR,KAMPUNG BATU DALAM,TPS 12,4,181,0,0,0,0,0,0
SUMATERA BARAT,AGAM,AMPEK NAGARI,BAWAN,TPS 10,22,185,0,0,0,0,0,0
SUMATERA BARAT,KOTA PADANG,PAUH,KAPALO KOTO,TPS 08,0,0,0,0,0,0,0,0
SUMATERA BARAT,SOLOK SELATAN,PAUH DUO,ALAM PAUH DUO,TPS 14,21,202,21,202,0,0,0,0
SUMATERA BARAT,PASAMAN,BONJOL,LIMO KOTO,TPS 05,10,172,10,172,0,0,0,0
SUMATERA BARAT,KOTA PADANG,NANGGALO,KAMPUNG LAPAI,TPS 19,17,102,17,102,17,102,0,0
SUMATERA BARAT,PESISIR SELATAN,SUTERA,AMPING PARAK,TPS 05,19,165,19,165,0,0,0,0
SUMATERA BARAT,PASAMAN BARAT,KINALI,KATIAGAN MANDIANGIN,TPS 08,0,0,0,0,0,0,0,0
SUMATERA BARAT,AGAM,LUBUK BASUNG,GERAGAHAN,TPS 23,31,164,0,0,0,0,0,0
SUMATERA BARAT,TANAH DATAR,RAMBATAN,SIMAWANG,TPS 29,0,0,0,0,0,0,0,0
SUMATERA BARAT,SIJUNJUNG,SIJUNJUNG,MUARO,TPS 01,34,178,34,178,0,0,0,0
SUMATERA BARAT,SIJUNJUNG,KOTO VII,PALALUAR,TPS 12,12,121,0,0,0,0,0,0
SUMATERA BARAT,PESISIR SELATAN,LINGGO SARI BAGANTI,PUNGGASAN,TPS 8,10,177,10,177,0,0,0,0
SUMATERA BARAT,PADANG PARIAMAN,LUBUK ALUNG,BALAH HILIA LUBUK ALUNG,TPS 05,33,191,33,191,0,0,0,0
SUMATERA BARAT,SIJUNJUNG,TANJUNG GADANG,LANGKI,TPS 3,24,177,24,177,0,0,0,0
SUMATERA BARAT,AGAM,AMPEK ANGKEK,BIARO GADANG,TPS 08,16,121,16,121,0,0,0,0
SUMATERA BARAT,KEPULAUAN MENTAWAI,SIPORA UTARA,BUKIT PAMEWA,TPS 2,114,104,0,0,0,0,0,0
SUMATERA BARAT,KOTA PADANG,PADANG BARAT,KAMPUNG JAWA,TPS 03,54,81,54,81,0,0,0,0
SUMATERA BARAT,PASAMAN BARAT,SUNGAI BEREMAS,AIA BANGIH,TPS 14,0,0,0,0,0,0,0,0
SUMATERA BARAT,KOTA PADANG,PADANG BARAT,OLO,TPS 05,40,144,40,144,0,0,0,0
SUMATERA BARAT,SOLOK,PANTAI CERMIN,SURIAN,TPS 28,0,0,0,0,0,0,0,0
