Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH UTARA,PASAR PRABUMULIH II,TPS 05,65,50,65,50,0,0,0,0
SUMATERA SELATAN,KOTA PALEMBANG,KALIDONI,SEI SELINCAH,TPS 94,54,79,54,79,0,0,0,0
SUMATERA SELATAN,MUSI BANYUASIN,LAIS,EPIL,TPS 11,20,201,20,201,0,0,0,0
SUMATERA SELATAN,KOTA PAGAR ALAM,DEMPO SELATAN,ATUNG BUNGSU,TPS 04,45,50,45,50,0,0,0,0
SUMATERA SELATAN,BANYUASIN,RAMBUTAN,GELEBAK DALAM,TPS 4,0,0,0,0,0,0,0,0
SUMATERA SELATAN,MUARA ENIM,MUARA ENIM,PASAR III MUARA ENIM,TPS 06,0,0,0,0,0,0,0,0
SUMATERA SELATAN,KOTA PALEMBANG,SUKARAMI,SUKODADI,TPS 46,69,76,0,0,0,0,0,0
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,TALANG UBI,TALANG UBI TIMUR,TPS 12,122,66,0,0,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,BUAY MADANG,TEBAT JAYA,TPS 03,77,69,0,0,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,PULAU BERINGIN,TANJUNG KARI,TPS 4,80,120,80,120,0,0,0,0
SUMATERA SELATAN,LAHAT,PAGAR GUNUNG,SIRING AGUNG,TPS 1,40,132,0,0,0,0,0,0
SUMATERA SELATAN,MUARA ENIM,LAWANG KIDUL,KEBAN AGUNG,TPS 26,0,0,0,0,0,0,0,0
SUMATERA SELATAN,KOTA PALEMBANG,SEBERANG ULU I,1 ULU,TPS 04,0,0,0,0,0,0,0,0
SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU TIMUR II,DEMPO,TPS 5,160,57,160,57,0,0,0,0
SUMATERA SELATAN,KOTA PALEMBANG,ILIR BARAT I,BUKIT LAMA,TPS 083,73,152,73,152,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ILIR,PAMPANGAN,MANGGARIS,TPS 2,69,127,69,127,0,0,0,0
SUMATERA SELATAN,OGAN ILIR,PAYARAMAN,SERI KEMBANG III,TPS 2,61,174,61,174,0,0,0,0
SUMATERA SELATAN,KOTA PALEMBANG,SEBERANG ULU II,SENTOSA,TPS 15,0,0,0,0,0,0,0,0
SUMATERA SELATAN,KOTA PRABUMULIH,CAMBAI,PANGKUL,TPS 01,28,144,28,144,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ULU,MUARA JAYA,KARANG LANTANG,TPS 3,20,115,20,115,0,0,0,0
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,ABAB,BETUNG,TPS 1,69,142,69,142,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ILIR,AIR SUGIHAN,TIRTA MULYA,TPS 5,146,21,146,21,0,0,0,0
SUMATERA SELATAN,MUARA ENIM,RAMBANG DANGKU,TANJUNG MENANG,TPS 3,0,0,0,0,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,MUARA DUA,PASAR MUARADUA,TPS 35,109,103,109,103,0,0,0,0
SUMATERA SELATAN,LAHAT,LAHAT,BANDAR JAYA,TPS 27,13,123,13,123,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ILIR,MESUJI RAYA,KEMANG INDAH,TPS 6,131,61,0,0,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ILIR,SUNGAI MENANG,SUNGAI MENANG,TPS 09,76,32,0,0,0,0,0,0
SUMATERA SELATAN,BANYUASIN,BETUNG,LUBUK KARET,TPS 04,65,135,0,0,0,0,0,0
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,WARKUK RANAU SELATAN,REMANAM JAYA,TPS 02,0,0,0,0,0,0,0,0
SUMATERA SELATAN,KOTA PALEMBANG,GANDUS,KARANG ANYAR,TPS 02,76,141,76,141,0,0,0,0
