Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SUMATERA UTARA,BATU BARA,SEI SUKA,KANDANGAN,TPS 1,47,68,0,0,0,0,0,0
SUMATERA UTARA,KARO,MUNTE,BARUNG KERSAP,TPS 1,0,0,0,0,0,0,0,0
SUMATERA UTARA,TAPANULI TENGAH,MANDUAMAS,P.O. MANDUAMAS,TPS 4,163,63,163,63,0,0,0,0
SUMATERA UTARA,TAPANULI TENGAH,PANDAN,SIBULUAN NAULI,TPS 1,145,96,145,96,0,0,0,0
SUMATERA UTARA,PADANG LAWAS UTARA,PORTIBI,TANJUNG SALAMAT,TPS 1,26,196,26,196,0,0,0,0
SUMATERA UTARA,DELI SERDANG,TANJUNG MORAWA,LENGAU SEPRANG,TPS 09,0,0,0,0,0,0,0,0
SUMATERA UTARA,KOTA TEBING TINGGI,RAMBUTAN,RANTAU LABAN,TPS 06,27,177,27,177,0,0,0,0
SUMATERA UTARA,KOTA PEMATANGSIANTAR,SIANTAR BARAT,SIPINGGOLPINGGOL,TPS 06,86,69,86,69,0,0,0,0
SUMATERA UTARA,SAMOSIR,PANGURURAN,PARMONANGAN,TPS 4,0,0,0,0,0,0,0,0
SUMATERA UTARA,KOTA MEDAN,MEDAN BELAWAN,BAGAN DELI,TPS 16,42,160,42,160,0,0,0,0
SUMATERA UTARA,KOTA PEMATANGSIANTAR,SIANTAR UTARA,MELAYU,TPS 22,115,58,115,58,0,0,0,0
SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,SIMPANG EMPAT,TPS 14,0,0,0,0,0,0,0,0
SUMATERA UTARA,LABUHANBATU SELATAN,KOTAPINANG,KOTA PINANG,TPS 59,11,184,11,184,0,0,0,0
SUMATERA UTARA,MANDAILING NATAL,BATAHAN,BATAHAN III,TPS 1,0,0,0,0,162,68,0,0
SUMATERA UTARA,SERDANG BEDAGAI,TANJUNG BERINGIN,NAGUR,TPS 19,21,80,0,0,0,0,0,0
SUMATERA UTARA,KOTA PADANG SIDEMPUAN,PADANGSIDIMPUAN TENGGARA,SIGULANG,TPS 6,14,90,0,0,0,0,0,0
SUMATERA UTARA,SIMALUNGUN,BANDAR,PEM.KERASAAN REJO,TPS 02,0,0,0,0,0,0,0,0
SUMATERA UTARA,BATU BARA,AIR PUTIH,TANJUNGMUDA,TPS 3,72,58,72,58,0,0,0,0
SUMATERA UTARA,DELI SERDANG,PERCUT SEI TUAN,MEDAN ESTATE,TPS 13,0,0,0,0,0,0,0,0
SUMATERA UTARA,DELI SERDANG,TANJUNG MORAWA,DALU X A,TPS 18,0,0,83,155,0,0,0,0
SUMATERA UTARA,TAPANULI UTARA,TARUTUNG,HUTATORUAN VII,TPS 07,158,13,158,13,0,0,0,0
SUMATERA UTARA,NIAS SELATAN,MAZO,HILIMAUFA,TPS 3,90,0,0,0,0,0,0,0
SUMATERA UTARA,SERDANG BEDAGAI,PEGAJAHAN,BINGKAT,TPS 08,86,115,86,115,0,0,0,0
SUMATERA UTARA,SIMALUNGUN,SILOU KAHEAN,SILOU DUNIA,TPS 2,44,45,0,0,0,0,0,0
SUMATERA UTARA,NIAS SELATAN,TELUK DALAM,PASAR TELUK DALAM,TPS 15,92,31,92,31,0,0,0,0
SUMATERA UTARA,NIAS UTARA,LAHEWA TIMUR,MUZOI,TPS 1,8,113,0,0,0,0,0,0
SUMATERA UTARA,SERDANG BEDAGAI,DOLOK MERAWAN,GUNUNG PARA II,TPS 5,75,105,75,105,0,0,0,0
SUMATERA UTARA,KOTA MEDAN,MEDAN AMPLAS,HARJOSARI I,TPS 31,0,0,0,0,0,0,0,0
SUMATERA UTARA,KOTA MEDAN,MEDAN JOHOR,PANGKALAN MANSUR,TPS 072,0,0,0,0,0,0,0,0
SUMATERA UTARA,TAPANULI UTARA,PAGARAN,PARHORBOAN,TPS 5,158,0,0,0,0,0,0,0
SUMATERA UTARA,NIAS UTARA,NAMOHALU ESIWA,NAMOHALU,TPS 6,173,13,173,13,0,0,0,0
